label	premise	hypothesis	prompt1si	prompt1en	prompt2si	prompt2en	few3_1	expl_preds	expl
entailment	Trava ne vzkali, če so semena pregloboko v zemlji.	Če semena zasadimo pregloboko, nam trava ne bo vzklila.	entailment	entailment	entailment	entailment	entailment	entailment	"Izjava ""Če semena zasadimo pregloboko, nam trava ne bo vzklila."" je enaka izjavi ""Trava ne vzkali, če so semena pregloboko v zemlji."" zato je izjava entailed."
neutral	Dvorec Prebold je dvonadstropna štiritraktna stavba pravokotnega tlorisa, četrto stran tvori nizek zid, s pravokotnimi stolpi na vogalih.	Veličastna renesančna graščina v Preboldu sestoji iz dveh nadstropij, je pravilne pravokotne oblike, ima notranji vrt in dva vogalna stolpa.	entailment	contradiction	entailment	neutral	entailment	contradiction	Izjava je v nasprotju s podanim stavkom, saj se ne ujema glede števila nadstropij, oblike, notranjega vrta in števila vogalnih stolpov.
entailment	Očitno se je zavedal, da to še ni pomembno.	Jasno mu je bilo, da to v tem hipu ni v središču pozornosti.	entailment	entailment	entailment	entailment	entailment	neutral	Izražena trditev ne nasprotuje izvirni trditvi, ampak jo le nadaljuje, zato je nevtralna.
neutral	Popoldne so med poostrenim nadzorom prometa v Suhorju pri Novem mestu ustavili 39-letnega voznika osebnega avta iz Brezja, ki je napihal 1,49 promila.	Med nadziranjem prometa so ustavili Dolenjca, ki mu je test alkoholiziranosti pokazal previsoko raven alkohola v krvi.	entailment	entailment	entailment	entailment	entailment	neutral	Iz podanega stavka ni mogoče sklepati ali je trditev podana v drugem stavku resnična ali ne, saj ni dovolj informacij o tem, ali je bil voznik iz prvega stavka Dolenjec ali ne.
neutral	Vem pa, slišal sem, da so bile nekatere atletinje izrazito spolno aktivne in nimfomansko razpoložene.	Do mene je prišla informacija, da so nekatere športnice hudo nimfomansko razpoložene, nekatere pa so izjemno zavrte.	contradiction	entailment	neutral	neutral	neutral	neutral	Izjava vprašanja ne nasprotuje izjavi v stavku, ampak dodaja informacijo o drugačnem vedenju nekaterih športnic, zato je nevtralna.
contradiction	»In kdo naj bi bila ta izjemna osebnost?«	Le kdo je ta ničvrednež?	neutral	contradiction	neutral	neutral	contradiction	contradiction	"Izjava ""Le kdo je ta ničvrednež?"" je v nasprotju s prvotno izjavo, saj izraža negativno mnenje o osebi, medtem ko prvotna izjava govori o izjemni osebnosti."
contradiction	Kraj nesreče sta si ogledali tudi preiskovalna sodnica in državna tožilka.	Okoliščine nesreče so si prišli ogledat samo policisti.	neutral	neutral	contradiction	neutral	contradiction	neutral	Iz podanega stavka ni mogoče sklepati ali so si okoliščine nesreče ogledali samo policisti ali ne, saj se o tem ne govori.
entailment	Pisni izpit ocenijo zunanji ocenjevalci po merilih, ki jih pripravi DPK SM za matematiko.	Pisni preizkus znanja ovrednoti zunanja komisija, pri tem si pomagajo s kriteriji DPK SM za predmet matematika.	entailment	neutral	entailment	entailment	entailment	contradiction	Izjava je v nasprotju s podanim stavkom, saj se v izjavi omenja zunanja komisija, medtem ko se v stavku omenjajo zunanji ocenjevalci.
neutral	**Sportinina kartica ugodnosti ne velja za blagovne znamke Orsay, Tally Weijl, Xanaka, Tape a l'oeil in Six.	V drobnem tisku so podrobnejša pravila glede ugodnosti, ki jih ponuja Sportinina kartica ugodnosti.	neutral	neutral	entailment	neutral	entailment	neutral	Izjava v drobnem tisku podaja podrobnejša pravila glede ugodnosti, ki jih ponuja Sportinina kartica ugodnosti, kar ne nasprotuje navedbi, da kartica ne velja za določene blagovne znamke, ampak dodaja dodatne informacije o ugodnostih, ki so na voljo.
contradiction	Osvojili so pet naslovov šolskih prvakov, dve drugi in tri tretja mesta.	S tekmovanja so se vrnili brez vsakega naziva ali medalje.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	"Iz podanega stavka je razvidno, da so osvojili pet naslovov šolskih prvakov, dve drugi mesti in tri tretja mesta, kar pomeni, da so prejeli vsaj en naziv ali medaljo. Zato trditev ""S tekmovanja so se vrnili brez vsakega naziva ali medalje."" je v nasprotju s podanimi informacijami."
entailment	Slovenija je še vedno najmanj zadolžena članica držav evrobmočja in se je tej ravni zadolženosti zaradi hitre gospodarske rasti doslej približevala postopoma.	V Evropski uniji Slovenija še vedno velja za eno izmed držav z najmanj dolgovi, k čemur je pripomogel hiter, a postopen, vzpon gospodarstva.	neutral	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu s podanim stavkom, saj oboje trdi, da je Slovenija ena izmed držav z najmanj dolgovi v Evropski uniji, pri čemer je hitra gospodarska rast prispevala k temu.
entailment	Predpisana akontacija davka iz dejavnosti se odšteje od odmerjene dohodnine.	Od nekega dela je treba določen del davka nameniti akontaciji, da se potem odšteje od dohodnine.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu s podanim stavkom, saj se v obeh primerih omenja akontacija davka, ki se odšteje od dohodnine.
contradiction	Skice prikazujejo smer vrtenja Zemlje (Z) in smer kroženja Lune (L) okrog Zemlje.	Ne vidi se dobro, kroži Luna okoli Zemlje ali Zemlja okoli Lune?	contradiction	contradiction	neutral	neutral	neutral	contradiction	Iz podanega stavka je razvidno, da je Luna tista, ki kroži okoli Zemlje, zato se izjava ne ujema s podanimi informacijami.
contradiction	IGRALEC A Z ZGORNJIM ODBOJEM PODA ŽOGO IGRALCU C, IGRALEC B ISTOČASNO STOPI K MREŽI.	Prvi igralec se žoge ne sme dotakniti, zato tretji igralec teče k mreži, da jo lahko drugi igralec odbije.	entailment	entailment	entailment	neutral	entailment	entailment	Iz podanega stavka je razvidno, da prvi igralec ne sme dotakniti žoge, zato tretji igralec teče k mreži, da jo lahko drugi igralec odbije.
contradiction	A kot boš nekoč, ko boš starejša, sama ugotovila sama, mora življenje iti naprej.	Čeprav pravijo, da gre življenje naprej, boš videla, da so to le prazne besede.	contradiction	entailment	neutral	neutral	entailment	contradiction	"Izjava ""Čeprav pravijo, da gre življenje naprej, boš videla, da so to le prazne besede."" se ne strinja s prvotno izjavo, ker prva izjava trdi, da življenje gre naprej, medtem ko druga izjava trdi, da so to le prazne besede."
entailment	Osredotočite se na večje mišične skupine, kot so prsi, hrbet, rame in noge.	Pozornost posvetite mišicam na prednjem in zadnjem delu trupa ter na okončinah.	neutral	neutral	entailment	neutral	entailment	contradiction	"Izjava ""Pozornost posvetite mišicam na prednjem in zadnjem delu trupa ter na okončinah."" je v nasprotju z izjavo ""Osredotočite se na večje mišične skupine, kot so prsi, hrbet, rame in noge."", saj prva izjava poudarja mišice na prednjem in zadnjem delu trupa ter na okončinah, medtem ko druga izjava navaja, naj se osredotočimo na večje mišične skupine, kot so prsi, hrbet, rame in noge."
neutral	»Ničesar ne slišim,« je rekel, ko je še močneje napel ušesa.	“Nič ne slišim,” je med zobmi rekel prvemu častniku.	neutral	entailment	entailment	neutral	entailment	neutral	"Izjava ""»Ničesar ne slišim,« je rekel, ko je še močneje napel ušesa."" ne nasprotuje izjavi ""“Nič ne slišim,” je med zobmi rekel prvemu častniku."", saj obe izjavi govorita o tem, da oseba ne sliši ničesar."
entailment	Čustveni odzivi stresa so strah, tesnoba, zaskrbljenost in depresivnost.	Na stres se lahko odzivamo na različne načine, npr. s prestrašenostjo, tesnobo in kopičenjem skrbi.	neutral	entailment	entailment	entailment	entailment	entailment	Izjava vsebuje enake pojme kot izvirna izjava, zato je izjava potrjena.
contradiction	Takoj sem ugotovil, da je računalništvo področje, ki me zanima.	Ne spoznam se na računalnike, niti nimam veselja, da bi se s tem ukvarjal.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	"Izjava ""Ne spoznam se na računalnike, niti nimam veselja, da bi se s tem ukvarjal."" je v nasprotju s prvotno izjavo, saj prva izjava izraža zanimanje za računalništvo, medtem ko druga izjava izraža pomanjkanje znanja in interesa za to področje."
entailment	(2) O porabi sredstev iz prejšnjega odstavka odloča ustavno sodišče.	Ustavno sodišče je tisto, ki določa, kam bodo namenjena sredstva.	contradiction	entailment	neutral	entailment	entailment	contradiction	Izjava vprašanja navaja, da ustavno sodišče določa, kam bodo namenjena sredstva, medtem ko izvirna izjava navaja, da ustavno sodišče odloča o porabi sredstev. Izjava vprašanja je torej v nasprotju z izvirno izjavo.
contradiction	Kdo bi vedel, kaj se bo še zgodilo in razvilo iz tega...	Jasno je, da smo s tem problemom zaključili.	contradiction	neutral	neutral	neutral	contradiction	neutral	"Izražena izjava ""Jasno je, da smo s tem problemom zaključili."" ne nasprotuje izjavi v prvotnem stavku, vendar tudi ne podpira ali potrjuje izjave. Zato je odgovor ""neutralen""."
entailment	Zaradi premočnega vetra so prireditelji tekmo prestavili na nedeljo, ko naj bi bili na sporedu dve tekmi, sobotna le z eno serijo.	Ker je pihal hud veter, bo tekma namesto v soboto v nedeljo, takrat bosta zdaj dve srečanji.	entailment	entailment	entailment	neutral	entailment	entailment	Tekma je bila prestavljena zaradi premočnega vetra.
neutral	Gojenje: med rastjo morajo biti v enakomerno vlažni prsti, zato jih je treba ves čas zmerno zalivati, pozimi pa potrebujejo zelo malo vode.	Kako obilno in pogosto je te rastline treba zalivati, pa je odvisno od mnogo dejavnikov in pogosto pri ljudeh predstavlja vir negotovosti.	neutral	neutral	entailment	neutral	neutral	neutral	Izjava vpraša, kako obilno in pogosto je treba zalivati rastline, medtem ko izvirna izjava navaja, da jih je treba ves čas zmerno zalivati. Izjava ne nasprotuje izvirni izjavi, vendar je tudi ne podpira, saj ne daje nobenih dodatnih informacij o tem, kako obilno in pogosto je treba zalivati rastline.
contradiction	Večina dišavnic ima rada veliko sonca, zato so te rastline nadvse primerne za gojenje na oknih, balkonih in terasah, ki so ves dan obsijani s soncem, kjer mnogo cvetlic ne preživi.	Sončne svetlobe glavnina dišavnic ne prenese in v njej ne uspevajo, zato jih raje kot na prisojna mesta postavimo v temne in vlažne prostore, kot je npr. klet.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	Trditev v nasprotju z izjavo v prvem stavku, saj pravi, da dišavnice ne prenašajo sončne svetlobe, medtem ko prvi stavek pravi, da imajo dišavnice rade veliko sonca.
contradiction	»Kje si bil?« ga je mrko pogledal.	Le prijazno ga je pogledal, ni ga spraševal, kje se je potikal.	neutral	contradiction	contradiction	neutral	contradiction	neutral	"Iz stavka ""Le prijazno ga je pogledal, ni ga spraševal, kje se je potikal."" ni mogoče sklepati, ali je bil oseba, ki jo je pogledal, ista oseba, ki jo je pogledal v prvem stavku ""»Kje si bil?« ga je mrko pogledal.""."
contradiction	Laserski tiskalniki nudijo viskoko kakovost in uporabljajo navaden tipkarski papir, vendar so počasni in dragi, še posebni barvni.	Tiskalniki, ki delujejo s pomočjo laserja, so izjemno nekvalitetni, zanje potrebujemo tudi poseben papir, so pa zelo hitri in poceni, zlasti črno-beli.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	Izjava v nasprotju z izvirno trditvijo, saj trdi, da so laserski tiskalniki nekvalitetni, potrebujejo poseben papir, so pa hitri in poceni, medtem ko izvirna trditev pravi, da laserski tiskalniki nudijo visoko kakovost, uporabljajo navaden papir, so pa počasni in dragi, še posebej barvni.
entailment	Trenutno nimamo podatkov na katerih področjih imajo bolnice z rakom dojke največ težav in kateri dejavniki najbolj vplivajo na njihovo kakovost življenja.	Po momentano znanih informacijah ne gre sklepati, s katerimi problemi ter omejitvami v povezavi s kakovostjo življenja se često srečujejo pacientke, ki bolehajo za najpogostejšo vrsto raka pri ženskah.	neutral	neutral	neutral	neutral	neutral	neutral	Izjava ne nasprotuje izjavi v prvem stavku, saj obe trdita, da trenutno ni podatkov o težavah in omejitvah pacientk z rakom dojke. Izjava je torej nevtralna.
contradiction	»In tam – tam sem spoznala neko dekle.«	“Tam sem bila precej osamljena, saj nisem spoznala nikogar novega.“	entailment	entailment	entailment	entailment	entailment	contradiction	"Izjava ""Tam sem bila precej osamljena, saj nisem spoznala nikogar novega."" je v nasprotju z izjavo ""»In tam – tam sem spoznala neko dekle.«"", saj prva izjava navaja, da ni spoznala nikogar novega, medtem ko druga izjava navaja, da je spoznala neko dekle."
contradiction	Zagodrnjala je, vstala, si napolnila lonček z vodo in ga nesla s sabo v spalnico.	Nasmejana je vstala, si natočila kozarec vode, potem pa praznih rok odšla v spalnico.	neutral	contradiction	contradiction	neutral	contradiction	contradiction	Izjava je v nasprotju s podanim stavkom, saj v podanem stavku oseba napolni lonček z vodo, medtem ko v izjavi oseba natoči kozarec vode.
contradiction	TUNEL NA SLIKI JE ZARADI PREZRAČEVANJA ODPRT NA OBEH KONCIH, LAHKO PA GA TUDI ZAPRETE S STEKLENIMI ALI PLASTIČNIMI PLOŠČAMI.	Tunel, ki je viden na sliki, mora biti obvezno na obeh koncih odprt, da je omogočeno nujno potrebno prezračevanje.	entailment	entailment	neutral	neutral	entailment	contradiction	Izjava je v nasprotju s podanim stavkom, saj ne omenja nujnega potrebnega prezračevanja, ki je navedeno v stavku.
neutral	Zanima me, kako dolgo jo bova še imela.«	Ona je z nama že kar nekaj časa.	neutral	neutral	neutral	neutral	neutral	neutral	"Izjava ""Ona je z nama že kar nekaj časa."" ne nasprotuje izjavi ""Zanima me, kako dolgo jo bova še imela."", saj se nanaša na preteklost, medtem ko se druga izjava nanaša na prihodnost."
neutral	Navadno so jih izdelovali v črni, rdeči in rjavi barvi.	Barve, v katerih so jih najpogosteje izdelovali nekdaj, so črna, rdeča ter rjava.	entailment	entailment	entailment	entailment	entailment	entailment	Trditev je enaka izjavi v izvirnem stavku, zato je trditev potrjena.
entailment	Veliki čezmerni odmerki lahko povzročijo močno zaspanost, utrujenost in občutek vročine.	Prekomerno zaužitje lahko sproži intenzivno utrujenost, zaspanost, celo občutek povišane temperature.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je enaka kot izvirna, zato je izjava potrjena.
contradiction	Bila je zelo bleda in v očeh ji je bral obup.	Njena rdečica na licih in smejoče oči sta mu govorili o njenem veselju.	contradiction	contradiction	contradiction	neutral	contradiction	contradiction	Izjava vsebuje informacijo o rdečici na licih in smejočih očeh, kar kaže na veselje, medtem ko izvirna izjava omenja bledico in obup v očeh, kar kaže na nasprotje.
entailment	Med moje naloge sodi tudi polnjenje polic in naročanje izdelkov .	Moje zadolžitve obsegajo dodajanje izdelkov na police in njihovo naročanje.	entailment	entailment	entailment	entailment	entailment	neutral	"Izjava ""Moje zadolžitve obsegajo dodajanje izdelkov na police in njihovo naročanje."" je enakovredna izjavi ""Med moje naloge sodi tudi polnjenje polic in naročanje izdelkov."" zato je izjava NEUTRALNA."
entailment	Zavarovana oseba ima pravico do novega pripomočka še pred iztekom trajnostne dobe, in sicer v primeru anatomskih in funkcionalnih sprememb, zaradi katerih je postal pripomoček neustrezen.	Posameznik, ki ima sklenjeno zavarovanje, sme v primeru, da pride do anatomskih in praktičnih modifikacij, ki so privedle do neprimernosti naprave, prejeti novo napravo, še preden se ji izteče rok trajanja.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava vprašanja je enaka kot v izvirnem stavku, zato je izjava vprašanja v skladu z izvirnim stavkom.
contradiction	Z vaščani, ki so postavljali dodatno ploščo, je bil tudi hotiški župnik Vili Kovač, ki je postal osrednja osebnost dogodka povsem nepričakovano.	Vaščanom je dodatno ploščo pomagal postaviti tudi Vili Kovač, župnik na Hotizi, vendar se zanj nihče ni zmenil.	contradiction	entailment	entailment	neutral	contradiction	neutral	Iz podanega stavka ni mogoče sklepati ali je trditev podana v drugem stavku resnična ali ne, saj ne vsebuje nobenih informacij o tem, ali se je kdo zmenil za Vila Kovača ali ne.
